rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
3937	UBC	ubiquitin C	539562	2	2	2	0	0	1	0	1	0	0	0.134	0.429	0.0776	0.773	0.660	0.304	1.000
3938	KLC1	kinesin light chain 1	502288	1	1	1	0	0	0	0	1	0	0	0.304	0.871	NaN	NaN	NaN	0.304	1.000
3939	SLTM	SAFB-like, transcription modulator	899513	2	2	2	0	0	1	0	1	0	0	0.246	0.631	0.422	0.233	0.360	0.304	1.000
3940	PLAGL2	pleiomorphic adenoma gene-like 2	420872	1	1	1	0	0	0	0	1	0	0	0.304	0.819	NaN	NaN	NaN	0.304	1.000
3941	NDST3	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3	754925	1	1	1	1	1	0	0	0	0	0	0.304	0.907	NaN	NaN	NaN	0.304	1.000
3942	ATP10D	ATPase, class V, type 10D	1235588	2	2	2	0	0	0	0	2	0	0	0.434	0.702	0.725	0.0280	0.205	0.304	1.000
3943	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	452532	1	1	1	0	0	0	0	0	1	0	0.304	0.614	NaN	NaN	NaN	0.304	1.000
3944	PNPLA5	patatin-like phospholipase domain containing 5	302626	1	1	1	0	0	0	0	1	0	0	0.304	0.822	NaN	NaN	NaN	0.304	1.000
3945	DMAP1	DNA methyltransferase 1 associated protein 1	392016	1	1	1	0	0	0	0	0	1	0	0.304	0.773	NaN	NaN	NaN	0.304	1.000
3946	ARHGEF9	Cdc42 guanine nucleotide exchange factor (GEF) 9	387862	2	2	2	0	0	0	1	1	0	0	0.0889	0.675	0.879	0.652	1.000	0.304	1.000
3947	WDR27	WD repeat domain 27	611131	1	1	1	0	0	0	1	0	0	0	0.304	0.686	NaN	NaN	NaN	0.304	1.000
3948	RSL1D1	ribosomal L1 domain containing 1	427039	1	1	1	0	0	0	0	1	0	0	0.304	0.844	NaN	NaN	NaN	0.304	1.000
3949	GPR78	G protein-coupled receptor 78	268390	2	2	2	1	1	0	1	0	0	0	0.0891	0.789	0.574	0.409	1.000	0.305	1.000
3950	DNAH9	dynein, axonemal, heavy chain 9	3765543	9	9	9	1	2	3	0	2	2	0	0.122	0.190	0.506	0.546	0.729	0.305	1.000
3951	KLHL6	kelch-like 6 (Drosophila)	535893	1	1	1	0	0	0	0	0	1	0	0.305	0.620	NaN	NaN	NaN	0.305	1.000
3952	CXCR1	chemokine (C-X-C motif) receptor 1	299128	1	1	1	0	1	0	0	0	0	0	0.305	0.778	NaN	NaN	NaN	0.305	1.000
3953	DKKL1	dickkopf-like 1 (soggy)	211832	1	1	1	1	1	0	0	0	0	0	0.305	0.938	NaN	NaN	NaN	0.305	1.000
3954	SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	543860	1	1	1	0	0	0	1	0	0	0	0.305	0.768	NaN	NaN	NaN	0.305	1.000
3955	SLC7A3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3	463016	2	2	2	0	1	0	1	0	0	0	0.160	0.477	0.426	0.961	0.558	0.305	1.000
3956	BRIX1	BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)	272777	1	1	1	0	0	0	0	1	0	0	0.305	0.862	NaN	NaN	NaN	0.305	1.000
3957	AFF2	AF4/FMR2 family, member 2	1136425	7	7	7	3	4	0	1	1	1	0	0.133	0.704	0.922	0.236	0.673	0.305	1.000
3958	YME1L1	YME1-like 1 (S. cerevisiae)	640134	1	1	1	0	0	1	0	0	0	0	0.305	0.751	NaN	NaN	NaN	0.305	1.000
3959	ADCK4	aarF domain containing kinase 4	465696	1	1	1	0	0	0	0	1	0	0	0.305	0.814	NaN	NaN	NaN	0.305	1.000
3960	ZNF285	zinc finger protein 285	505155	1	1	1	0	1	0	0	0	0	0	0.306	0.700	NaN	NaN	NaN	0.306	1.000
3961	CHID1	chitinase domain containing 1	312579	1	1	1	0	1	0	0	0	0	0	0.306	0.673	NaN	NaN	NaN	0.306	1.000
3962	CLCN3	chloride channel 3	749896	1	1	1	0	0	0	0	1	0	0	0.306	0.841	NaN	NaN	NaN	0.306	1.000
3963	ELP3	elongation protein 3 homolog (S. cerevisiae)	481287	1	1	1	1	0	1	0	0	0	0	0.306	0.898	NaN	NaN	NaN	0.306	1.000
3964	PLEKHA8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8	367869	1	1	1	0	0	0	0	0	1	0	0.306	1.000	NaN	NaN	NaN	0.306	1.000
3965	MICB	MHC class I polypeptide-related sequence B	324647	1	1	1	1	0	1	0	0	0	0	0.306	0.883	NaN	NaN	NaN	0.306	1.000
3966	ELAVL2	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	305572	1	1	1	0	0	0	0	1	0	0	0.306	0.832	NaN	NaN	NaN	0.306	1.000
3967	SPAG16	sperm associated antigen 16	535187	1	1	1	0	0	0	1	0	0	0	0.306	0.649	NaN	NaN	NaN	0.306	1.000
3968	ZNF805	zinc finger protein 805	421164	1	1	1	0	0	0	0	1	0	0	0.307	0.859	NaN	NaN	NaN	0.307	1.000
3969	TMEM30A	transmembrane protein 30A	314826	1	1	1	0	0	0	0	1	0	0	0.307	0.840	NaN	NaN	NaN	0.307	1.000
3970	GIMAP4	GTPase, IMAP family member 4	282417	1	1	1	1	1	0	0	0	0	0	0.307	0.902	NaN	NaN	NaN	0.307	1.000
3971	RBBP8	retinoblastoma binding protein 8	778095	1	1	1	2	0	0	0	0	1	0	0.307	1.000	NaN	NaN	NaN	0.307	1.000
3972	SNX14	sorting nexin 14	827585	2	2	2	0	0	0	0	1	1	0	0.238	0.736	0.202	0.242	0.378	0.307	1.000
3973	TEX11	testis expressed 11	789481	2	2	2	1	1	0	0	0	1	0	0.0902	0.869	0.619	0.648	1.000	0.307	1.000
3974	STK19	serine/threonine kinase 19	308044	1	1	1	0	0	0	0	0	1	0	0.307	1.000	NaN	NaN	NaN	0.307	1.000
3975	GIMAP8	GTPase, IMAP family member 8	569962	1	1	1	1	0	0	1	0	0	0	0.308	0.911	NaN	NaN	NaN	0.308	1.000
3976	GFM2	G elongation factor, mitochondrial 2	689060	2	2	2	1	1	0	0	0	1	0	0.0904	0.772	0.870	0.834	1.000	0.308	1.000
3977	PCSK1	proprotein convertase subtilisin/kexin type 1	654701	1	1	1	0	0	0	0	0	1	0	0.308	0.639	NaN	NaN	NaN	0.308	1.000
3978	HS3ST4	heparan sulfate (glucosamine) 3-O-sulfotransferase 4	244840	1	1	1	1	1	0	0	0	0	0	0.308	0.837	NaN	NaN	NaN	0.308	1.000
3979	TUBA1B	tubulin, alpha 1b	386168	1	1	1	0	0	1	0	0	0	0	0.308	0.596	NaN	NaN	NaN	0.308	1.000
3980	LPAR4	lysophosphatidic acid receptor 4	314842	1	1	1	0	0	0	0	1	0	0	0.308	0.828	NaN	NaN	NaN	0.308	1.000
3981	SPAG5	sperm associated antigen 5	1040871	3	3	3	0	0	1	0	1	1	0	0.0907	0.522	0.721	0.834	1.000	0.308	1.000
3982	HTR1B	5-hydroxytryptamine (serotonin) receptor 1B	333091	1	1	1	0	0	0	0	1	0	0	0.309	0.800	NaN	NaN	NaN	0.309	1.000
3983	DACH1	dachshund homolog 1 (Drosophila)	508880	1	1	1	1	0	0	0	0	1	0	0.309	0.939	NaN	NaN	NaN	0.309	1.000
3984	ZCCHC18	zinc finger, CCHC domain containing 18 pseudogene	258854	1	1	1	0	0	0	0	1	0	0	0.309	0.840	NaN	NaN	NaN	0.309	1.000
3985	LDHAL6B	lactate dehydrogenase A-like 6B	325283	1	1	1	0	0	0	0	1	0	0	0.309	0.831	NaN	NaN	NaN	0.309	1.000
3986	TDRKH	tudor and KH domain containing	490722	1	1	1	1	0	0	1	0	0	0	0.309	0.890	NaN	NaN	NaN	0.309	1.000
3987	PAOX	polyamine oxidase (exo-N4-amino)	408194	1	1	1	1	0	0	0	1	0	0	0.309	0.946	NaN	NaN	NaN	0.309	1.000
3988	KIR3DL2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	260001	1	1	1	1	0	0	0	1	0	0	0.309	0.931	NaN	NaN	NaN	0.309	1.000
3989	PISD	phosphatidylserine decarboxylase	315890	1	1	1	0	1	0	0	0	0	0	0.309	0.699	NaN	NaN	NaN	0.309	1.000
3990	LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	369689	2	2	2	0	1	0	0	0	1	0	0.0910	0.394	0.826	0.395	1.000	0.309	1.000
3991	VCAM1	vascular cell adhesion molecule 1	638035	1	1	1	0	0	0	0	0	1	0	0.309	1.000	NaN	NaN	NaN	0.309	1.000
3992	AKAP2	A kinase (PRKA) anchor protein 2	764208	3	3	3	0	2	0	0	1	0	0	0.110	0.342	0.650	0.190	0.831	0.310	1.000
3993	XCR1	chemokine (C motif) receptor 1	281806	1	1	1	0	1	0	0	0	0	0	0.310	0.697	NaN	NaN	NaN	0.310	1.000
3994	CCR6	chemokine (C-C motif) receptor 6	320639	1	1	1	0	1	0	0	0	0	0	0.310	0.613	NaN	NaN	NaN	0.310	1.000
3995	FAM86A	family with sequence similarity 86, member A	263896	1	1	1	1	1	0	0	0	0	0	0.310	0.852	NaN	NaN	NaN	0.310	1.000
3996	DGKB	diacylglycerol kinase, beta 90kDa	621695	1	1	1	0	0	1	0	0	0	0	0.310	0.673	NaN	NaN	NaN	0.310	1.000
3997	DGAT1	diacylglycerol O-acyltransferase homolog 1 (mouse)	348901	2	2	2	0	0	0	0	0	2	0	0.0915	1.000	0.719	0.959	1.000	0.310	1.000
3998	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)	408919	1	1	1	0	1	0	0	0	0	0	0.310	0.611	NaN	NaN	NaN	0.310	1.000
3999	OCLN	occludin	412411	1	1	1	1	1	0	0	0	0	0	0.310	0.880	NaN	NaN	NaN	0.310	1.000
4000	TMPRSS11F	transmembrane protease, serine 11F	380686	2	2	2	0	1	0	1	0	0	0	0.0916	0.554	0.683	0.964	1.000	0.310	1.000
4001	PROX1	prospero homeobox 1	631032	1	1	1	1	0	0	1	0	0	0	0.310	0.955	NaN	NaN	NaN	0.310	1.000
4002	CXCR2	chemokine (C-X-C motif) receptor 2	307621	1	1	1	0	1	0	0	0	0	0	0.310	0.750	NaN	NaN	NaN	0.310	1.000
4003	PTPN3	protein tyrosine phosphatase, non-receptor type 3	804217	3	3	3	1	2	0	0	0	1	0	0.132	0.608	0.447	0.318	0.694	0.311	1.000
4004	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	557111	2	2	2	0	0	0	0	0	2	0	0.0916	0.336	0.716	0.529	1.000	0.311	1.000
4005	PRMT8	protein arginine methyltransferase 8	346034	1	1	1	0	0	0	0	1	0	0	0.311	0.850	NaN	NaN	NaN	0.311	1.000
4006	CHAT	choline acetyltransferase	553653	2	2	2	0	1	0	1	0	0	0	0.148	0.520	0.287	0.675	0.618	0.311	1.000
4007	KAT5	K(lysine) acetyltransferase 5	448029	1	1	1	1	0	1	0	0	0	0	0.311	0.780	NaN	NaN	NaN	0.311	1.000
4008	HAUS7	HAUS augmin-like complex, subunit 7	263763	1	1	1	0	1	0	0	0	0	0	0.311	0.572	NaN	NaN	NaN	0.311	1.000
4009	WDR61	WD repeat domain 61	270998	1	1	1	0	1	0	0	0	0	0	0.311	0.625	NaN	NaN	NaN	0.311	1.000
4010	SLC10A4	solute carrier family 10 (sodium/bile acid cotransporter family), member 4	248114	1	1	1	1	1	0	0	0	0	0	0.311	0.828	NaN	NaN	NaN	0.311	1.000
4011	ALG3	asparagine-linked glycosylation 3 homolog (S. cerevisiae, alpha-1,3-mannosyltransferase)	378055	2	2	2	1	1	0	0	1	0	0	0.121	0.767	0.445	0.749	0.757	0.311	1.000
4012	ZNF526	zinc finger protein 526	570507	2	2	2	0	0	1	0	1	0	0	0.156	0.496	0.116	0.687	0.588	0.311	1.000
4013	KLHDC9	kelch domain containing 9	242149	1	1	1	0	1	0	0	0	0	0	0.312	0.758	NaN	NaN	NaN	0.312	1.000
4014	C9orf41	chromosome 9 open reading frame 41	293653	1	1	1	0	0	0	0	1	0	0	0.312	0.859	NaN	NaN	NaN	0.312	1.000
4015	OR7D2	olfactory receptor, family 7, subfamily D, member 2	266858	1	1	1	0	1	0	0	0	0	0	0.312	0.553	NaN	NaN	NaN	0.312	1.000
4016	SCAMP2	secretory carrier membrane protein 2	269262	1	1	1	0	0	0	0	1	0	0	0.312	0.817	NaN	NaN	NaN	0.312	1.000
4017	VPS54	vacuolar protein sorting 54 homolog (S. cerevisiae)	844708	1	1	1	0	1	0	0	0	0	0	0.312	0.720	NaN	NaN	NaN	0.312	1.000
4018	FBXO38	F-box protein 38	1031483	4	3	4	3	0	0	0	3	1	0	0.647	0.961	0.331	0.132	0.142	0.312	1.000
4019	TAF2	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa	1046924	3	3	3	0	0	0	1	1	1	0	0.0922	0.477	0.979	0.776	1.000	0.312	1.000
4020	SYMPK	symplekin	932689	3	2	3	0	1	2	0	0	0	0	0.439	0.176	0.0910	0.394	0.210	0.312	1.000
4021	LIPF	lipase, gastric	345699	1	1	1	0	0	0	0	1	0	0	0.312	0.852	NaN	NaN	NaN	0.312	1.000
4022	DHRS7C	dehydrogenase/reductase (SDR family) member 7C	267165	1	1	1	0	1	0	0	0	0	0	0.312	0.614	NaN	NaN	NaN	0.312	1.000
4023	CACNA1H	calcium channel, voltage-dependent, T type, alpha 1H subunit	1116450	4	4	4	1	3	0	0	0	1	0	0.222	0.476	0.102	0.627	0.416	0.312	1.000
4024	CBX8	chromobox homolog 8 (Pc class homolog, Drosophila)	320145	1	1	1	0	1	0	0	0	0	0	0.312	0.621	NaN	NaN	NaN	0.312	1.000
4025	CELF1	CUGBP, Elav-like family member 1	430236	1	1	1	0	1	0	0	0	0	0	0.312	0.660	NaN	NaN	NaN	0.312	1.000
4026	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	299253	1	1	1	0	0	0	0	1	0	0	0.312	0.825	NaN	NaN	NaN	0.312	1.000
4027	TADA2A	transcriptional adaptor 2A	416486	1	1	1	0	1	0	0	0	0	0	0.312	0.846	NaN	NaN	NaN	0.312	1.000
4028	ANK1	ankyrin 1, erythrocytic	1735148	5	5	5	1	2	1	0	2	0	0	0.242	0.383	0.772	0.153	0.381	0.313	1.000
4029	TMEM87B	transmembrane protein 87B	473017	1	1	1	0	0	0	0	0	1	0	0.313	0.713	NaN	NaN	NaN	0.313	1.000
4030	LAMP1	lysosomal-associated membrane protein 1	346675	1	1	1	0	0	0	0	1	0	0	0.313	0.820	NaN	NaN	NaN	0.313	1.000
4031	EMID1	EMI domain containing 1	293577	1	1	1	0	0	1	0	0	0	0	0.313	0.687	NaN	NaN	NaN	0.313	1.000
4032	HDHD3	haloacid dehalogenase-like hydrolase domain containing 3	214944	1	1	1	0	1	0	0	0	0	0	0.313	0.771	NaN	NaN	NaN	0.313	1.000
4033	HOMEZ	homeobox and leucine zipper encoding	423943	1	1	1	0	0	1	0	0	0	0	0.313	0.687	NaN	NaN	NaN	0.313	1.000
4034	ART5	ADP-ribosyltransferase 5	226857	1	1	1	0	0	0	0	1	0	0	0.313	0.814	NaN	NaN	NaN	0.313	1.000
4035	PNPLA2	patatin-like phospholipase domain containing 2	240110	1	1	1	0	1	0	0	0	0	0	0.314	0.687	NaN	NaN	NaN	0.314	1.000
4036	PSAT1	phosphoserine aminotransferase 1	320249	2	1	2	0	0	2	0	0	0	0	0.0928	0.422	0.0535	0.966	1.000	0.314	1.000
4037	FAAH	fatty acid amide hydrolase	423399	1	1	1	0	0	0	0	0	1	0	0.314	0.637	NaN	NaN	NaN	0.314	1.000
4038	CDKL2	cyclin-dependent kinase-like 2 (CDC2-related kinase)	430164	2	2	2	0	0	0	1	1	0	0	0.0930	0.551	0.803	0.447	1.000	0.314	1.000
4039	ZNF543	zinc finger protein 543	514772	2	2	2	0	1	1	0	0	0	0	0.172	0.488	0.787	0.482	0.541	0.314	1.000
4040	CLIP2	CAP-GLY domain containing linker protein 2	839325	2	2	2	1	0	1	0	1	0	0	0.425	0.663	0.0809	0.903	0.219	0.314	1.000
4041	KLHL20	kelch-like 20 (Drosophila)	530261	1	1	1	0	0	0	0	1	0	0	0.314	0.826	NaN	NaN	NaN	0.314	1.000
4042	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	349493	1	1	1	0	0	0	0	1	0	0	0.314	0.816	NaN	NaN	NaN	0.314	1.000
4043	KRT20	keratin 20	369615	2	2	2	0	2	0	0	0	0	0	0.0931	0.532	0.405	0.801	1.000	0.314	1.000
4044	GADL1	glutamate decarboxylase-like 1	302911	1	1	1	0	0	0	0	1	0	0	0.314	0.853	NaN	NaN	NaN	0.314	1.000
4045	GPR149	G protein-coupled receptor 149	623643	1	1	1	0	0	0	1	0	0	0	0.314	0.689	NaN	NaN	NaN	0.314	1.000
4046	TFPT	TCF3 (E2A) fusion partner (in childhood Leukemia)	218070	1	1	1	0	1	0	0	0	0	0	0.314	0.781	NaN	NaN	NaN	0.314	1.000
4047	GAB4	GRB2-associated binding protein family, member 4	490073	1	1	1	0	0	0	0	0	1	0	0.314	0.604	NaN	NaN	NaN	0.314	1.000
4048	KRT23	keratin 23 (histone deacetylase inducible)	368104	1	1	1	0	1	0	0	0	0	0	0.314	0.714	NaN	NaN	NaN	0.314	1.000
4049	C1orf141	chromosome 1 open reading frame 141	342074	1	1	1	0	0	0	1	0	0	0	0.314	0.640	NaN	NaN	NaN	0.314	1.000
4050	UPP2	uridine phosphorylase 2	302890	1	1	1	0	1	0	0	0	0	0	0.314	0.684	NaN	NaN	NaN	0.314	1.000
4051	NCKIPSD	NCK interacting protein with SH3 domain	538215	1	1	1	0	0	0	0	1	0	0	0.315	0.804	NaN	NaN	NaN	0.315	1.000
4052	FSHR	follicle stimulating hormone receptor	601925	1	1	1	0	0	1	0	0	0	0	0.315	0.584	NaN	NaN	NaN	0.315	1.000
4053	XYLT2	xylosyltransferase II	648728	2	2	2	1	1	0	1	0	0	0	0.191	0.819	0.463	0.0662	0.488	0.315	1.000
4054	KCTD18	potassium channel tetramerisation domain containing 18	369228	1	1	1	0	0	0	0	1	0	0	0.315	0.818	NaN	NaN	NaN	0.315	1.000
4055	KRTAP10-10	keratin associated protein 10-10	214308	1	1	1	0	1	0	0	0	0	0	0.315	0.583	NaN	NaN	NaN	0.315	1.000
4056	MIOX	myo-inositol oxygenase	247737	1	1	1	0	1	0	0	0	0	0	0.315	0.629	NaN	NaN	NaN	0.315	1.000
4057	CALR3	calreticulin 3	330763	1	1	1	0	1	0	0	0	0	0	0.315	0.609	NaN	NaN	NaN	0.315	1.000
4058	ARFIP1	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	323700	1	1	1	0	0	1	0	0	0	0	0.315	0.730	NaN	NaN	NaN	0.315	1.000
4059	ERCC6	excision repair cross-complementing rodent repair deficiency, complementation group 6	1289014	3	3	3	0	0	1	2	0	0	0	0.208	0.290	0.431	0.229	0.451	0.315	1.000
4060	POU3F4	POU class 3 homeobox 4	265869	1	1	1	0	0	0	0	1	0	0	0.315	0.829	NaN	NaN	NaN	0.315	1.000
4061	KIF9	kinesin family member 9	694187	1	1	1	1	0	0	1	0	0	0	0.315	0.935	NaN	NaN	NaN	0.315	1.000
4062	ZNF497	zinc finger protein 497	242432	1	1	1	0	1	0	0	0	0	0	0.315	0.621	NaN	NaN	NaN	0.315	1.000
4063	GRTP1	growth hormone regulated TBC protein 1	279496	1	1	1	0	1	0	0	0	0	0	0.315	0.653	NaN	NaN	NaN	0.315	1.000
4064	SENP5	SUMO1/sentrin specific peptidase 5	652030	1	1	1	0	0	0	0	0	1	0	0.315	0.653	NaN	NaN	NaN	0.315	1.000
4065	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	670511	2	2	2	1	0	0	2	0	0	0	0.0937	0.739	0.913	0.775	1.000	0.315	1.000
4066	MZF1	myeloid zinc finger 1	465925	1	1	1	0	0	0	0	1	0	0	0.316	0.805	NaN	NaN	NaN	0.316	1.000
4067	CASQ2	calsequestrin 2 (cardiac muscle)	351892	1	1	1	0	0	0	0	1	0	0	0.316	0.875	NaN	NaN	NaN	0.316	1.000
4068	EFS	embryonal Fyn-associated substrate	468345	1	1	1	0	0	1	0	0	0	0	0.316	0.627	NaN	NaN	NaN	0.316	1.000
4069	TUBA3D	tubulin, alpha 3d	388112	1	1	1	2	0	0	0	0	1	0	0.316	0.971	NaN	NaN	NaN	0.316	1.000
4070	LCAT	lecithin-cholesterol acyltransferase	336487	1	1	1	0	1	0	0	0	0	0	0.316	0.700	NaN	NaN	NaN	0.316	1.000
4071	DMRT2	doublesex and mab-3 related transcription factor 2	349137	1	1	1	0	1	0	0	0	0	0	0.316	0.667	NaN	NaN	NaN	0.316	1.000
4072	OXA1L	oxidase (cytochrome c) assembly 1-like	432415	1	1	1	0	0	1	0	0	0	0	0.316	0.661	NaN	NaN	NaN	0.316	1.000
4073	MIPEP	mitochondrial intermediate peptidase	560729	2	2	2	0	1	0	0	0	1	0	0.0940	0.517	0.895	0.701	1.000	0.316	1.000
4074	IARS	isoleucyl-tRNA synthetase	1107809	3	3	3	0	0	2	0	1	0	0	0.0940	0.373	0.650	0.419	1.000	0.316	1.000
4075	RTP1	receptor (chemosensory) transporter protein 1	226238	2	2	2	1	2	0	0	0	0	0	0.0940	0.664	0.0356	0.276	1.000	0.316	1.000
4076	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1	357995	1	1	1	0	0	0	0	1	0	0	0.316	0.836	NaN	NaN	NaN	0.316	1.000
4077	PCYT2	phosphate cytidylyltransferase 2, ethanolamine	301548	1	1	1	0	1	0	0	0	0	0	0.316	0.675	NaN	NaN	NaN	0.316	1.000
4078	BIVM	basic, immunoglobulin-like variable motif containing	443800	1	1	1	1	0	0	0	0	1	0	0.317	1.000	NaN	NaN	NaN	0.317	1.000
4079	PLA2G4E	phospholipase A2, group IVE	601504	1	1	1	0	1	0	0	0	0	0	0.317	0.699	NaN	NaN	NaN	0.317	1.000
4080	PCF11	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)	1263431	2	2	2	0	0	0	0	1	1	0	0.437	0.836	0.301	0.236	0.216	0.317	1.000
4081	ATOH1	atonal homolog 1 (Drosophila)	301775	1	1	1	0	1	0	0	0	0	0	0.317	0.611	NaN	NaN	NaN	0.317	1.000
4082	CDC37	cell division cycle 37 homolog (S. cerevisiae)	330811	2	2	2	0	0	1	0	1	0	0	0.0968	0.444	0.587	0.599	0.974	0.317	1.000
4083	TMCC3	transmembrane and coiled-coil domain family 3	387127	1	1	1	0	0	0	1	0	0	0	0.317	0.757	NaN	NaN	NaN	0.317	1.000
4084	AQP8	aquaporin 8	229230	1	1	1	0	1	0	0	0	0	0	0.317	0.578	NaN	NaN	NaN	0.317	1.000
4085	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	513596	1	1	1	0	0	0	0	0	1	0	0.317	0.627	NaN	NaN	NaN	0.317	1.000
4086	TEAD4	TEA domain family member 4	381598	1	1	1	1	0	0	0	0	1	0	0.317	0.843	NaN	NaN	NaN	0.317	1.000
4087	CHST13	carbohydrate (chondroitin 4) sulfotransferase 13	127991	1	1	1	0	1	0	0	0	0	0	0.317	0.693	NaN	NaN	NaN	0.317	1.000
4088	AASS	aminoadipate-semialdehyde synthase	810711	1	1	1	1	1	0	0	0	0	0	0.317	0.912	NaN	NaN	NaN	0.317	1.000
4089	GGT1	gamma-glutamyltransferase 1	451711	1	1	1	0	0	1	0	0	0	0	0.318	0.541	NaN	NaN	NaN	0.318	1.000
4090	SOCS4	suppressor of cytokine signaling 4	375223	1	1	1	0	1	0	0	0	0	0	0.318	0.739	NaN	NaN	NaN	0.318	1.000
4091	HIPK4	homeodomain interacting protein kinase 4	500726	1	1	1	1	0	0	1	0	0	0	0.318	0.951	NaN	NaN	NaN	0.318	1.000
4092	IRF4	interferon regulatory factor 4	350024	2	2	2	1	2	0	0	0	0	0	0.146	0.695	0.296	0.592	0.650	0.318	1.000
4093	PRAMEF11	PRAME family member 11	364541	1	1	1	0	0	0	0	1	0	0	0.318	0.846	NaN	NaN	NaN	0.318	1.000
4094	RAD21	RAD21 homolog (S. pombe)	550586	1	1	1	0	1	0	0	0	0	0	0.318	0.696	NaN	NaN	NaN	0.318	1.000
4095	BMP2	bone morphogenetic protein 2	312185	1	1	1	0	0	0	0	1	0	0	0.318	0.841	NaN	NaN	NaN	0.318	1.000
4096	CTSW	cathepsin W	328639	1	1	1	0	0	1	0	0	0	0	0.318	0.572	NaN	NaN	NaN	0.318	1.000
4097	FMO3	flavin containing monooxygenase 3	461449	2	2	2	1	0	2	0	0	0	0	0.122	0.703	0.161	0.355	0.775	0.318	1.000
4098	GPR12	G protein-coupled receptor 12	285547	1	1	1	0	1	0	0	0	0	0	0.318	0.578	NaN	NaN	NaN	0.318	1.000
4099	CHST1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	350800	1	1	1	1	0	1	0	0	0	0	0.319	0.813	NaN	NaN	NaN	0.319	1.000
4100	AGPAT6	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)	369595	1	1	1	0	1	0	0	0	0	0	0.319	0.687	NaN	NaN	NaN	0.319	1.000
4101	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	512127	1	1	1	0	1	0	0	0	0	0	0.319	0.778	NaN	NaN	NaN	0.319	1.000
4102	TTLL12	tubulin tyrosine ligase-like family, member 12	480101	1	1	1	0	0	0	0	0	1	0	0.319	0.504	NaN	NaN	NaN	0.319	1.000
4103	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	261342	1	1	1	0	1	0	0	0	0	0	0.319	0.647	NaN	NaN	NaN	0.319	1.000
4104	DUSP13	dual specificity phosphatase 13	317543	1	1	1	0	1	0	0	0	0	0	0.319	0.714	NaN	NaN	NaN	0.319	1.000
4105	DDX49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49	370963	1	1	1	0	0	1	0	0	0	0	0.319	0.493	NaN	NaN	NaN	0.319	1.000
4106	DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	599946	1	1	1	0	0	1	0	0	0	0	0.319	0.741	NaN	NaN	NaN	0.319	1.000
4107	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	712273	2	2	2	0	1	0	0	0	1	0	0.363	0.659	0.141	0.523	0.263	0.319	1.000
4108	UHRF2	ubiquitin-like, containing PHD and RING finger domains, 2	690617	1	1	1	0	0	0	1	0	0	0	0.319	0.616	NaN	NaN	NaN	0.319	1.000
4109	MLLT3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	482551	1	1	1	0	0	0	0	0	1	0	0.319	1.000	NaN	NaN	NaN	0.319	1.000
4110	CRLF3	cytokine receptor-like factor 3	378303	1	1	1	0	0	0	0	1	0	0	0.319	0.836	NaN	NaN	NaN	0.319	1.000
4111	AMZ1	archaelysin family metallopeptidase 1	388419	1	1	1	0	0	0	0	0	1	0	0.320	1.000	NaN	NaN	NaN	0.320	1.000
4112	MIER2	mesoderm induction early response 1, family member 2	419972	2	2	2	0	1	0	1	0	0	0	0.0954	0.500	0.745	0.836	1.000	0.320	1.000
4113	PKN2	protein kinase N2	841040	1	1	1	0	1	0	0	0	0	0	0.320	0.822	NaN	NaN	NaN	0.320	1.000
4114	TRMT6	tRNA methyltransferase 6 homolog (S. cerevisiae)	434367	1	1	1	0	0	0	0	0	1	0	0.320	1.000	NaN	NaN	NaN	0.320	1.000
